id,en,zh,repair,reason
正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,Exactly. I sent people to visit him many times and finally convinced Master Zheng. He heard about your keen interest in learning and is willing to have a conversation with you.,正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,"Great, this is fantastic! Master Zheng is one of the greatest scholars of our time. Receiving his guidance will greatly benefit our governance. I will set off immediately to meet him.",好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,"Great, this is fantastic! Master Zheng is one of the greatest scholars of our time. Receiving his guidance will greatly benefit our governance. I will set off immediately to meet him.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
前往城外及军事驻地 可以选择拜见城外的学者,Proceed to the outskirts and military posts. You can choose to visit the scholars outside the city.,前往城外及军事驻地 可以选择拜见城外的学者,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
信件上是这么说，糜竺大人和陈登大人再等着你呢？,The letter says that Lord Mi Zhu and Lord Chen Deng are waiting for you.,信件上是这么说，糜竺大人和陈登大人再等着你呢？,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),(Is this true? Although he vaguely hinted at it... my instincts tell me something isn't right.),(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),(Is this true? Although he vaguely hinted at it... my instincts tell me something isn't right.),标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,"General, you are truly a great talent. Under your governance, the people of Xuzhou will prosper. Lord Tao only entrusted Xuzhou to you because he is ""at ease"" with your abilities.",将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,"General, you are truly a great talent. Under your governance, the people of Xuzhou will prosper. Lord Tao only entrusted Xuzhou to you because he is ""at ease"" with your abilities.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
容我考虑考虑..,Allow me to think it over...,容我考虑考虑..,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
陈群您怎么看?,"Chen Qun, what is your opinion?",陈群您怎么看?,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,"General, do you want me to speak as an official or as a friend?",将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
那就以朋友身份跟我说吧,Then speak to me as a friend.,那就以朋友身份跟我说吧,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,"General, Xuzhou's waters run deep... I don't want you to get caught in this mess. The power dynamics there are complicated, and they didn't give you the title of Governor just to let you pick the fruits of success.",将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,"General, Xuzhou's waters run deep... I don't want you to get caught in this mess. The power dynamics there are complicated, and they didn't give you the title of Governor just to let you pick the fruits of success.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
明白了..,I understand...,明白了..,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
大人考虑怎么样了？,"General, have you made your decision?",大人考虑怎么样了？,"General, have you made your decision?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
我觉得...,I think...,我觉得...,I think...,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,"General, allow me to ask: are you truly a subordinate of Tao Qian, or a loyal subject of the Han dynasty?",将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,"General, allow me to ask: are you truly a subordinate of Tao Qian, or a loyal subject of the Han dynasty?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,"(These words are nonsense... I have already won the hearts of the people here, even Cao Bao cannot do anything to me. However, if I wish to achieve great things, he has indeed spoken what is in my heart. )",（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,"(These words are nonsense... I have already won the hearts of the people here, even Cao Bao cannot do anything to me. However, if I wish to achieve great things, he has indeed spoken what is in my heart. )",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
（其实我本来就打算接受的）,"(Actually, I planned to accept from the beginning.)",（其实我本来就打算接受的）,"(Actually, I planned to accept from the beginning.)",语义错；原译评分4/10；英文玩家感受：会觉得像错译或漏译，剧情理解受阻。
公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,"At the end of 194 AD, Liu Bei took control of Xuzhou, and at the same time, he moved the state capital to Xiapi—a new game of power has begun!",公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,"At the end of 194 AD, Liu Bei took control of Xuzhou, and at the same time, he moved the state capital to Xiapi—a new game of power has begun!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
看来，我没法拒绝你..,"It seems, I can't refuse you...",看来，我没法拒绝你..,"It seems, I can't refuse you...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
我的体力值还有很多，确定要休息么,"I still have plenty of stamina left, are you sure you want to rest?",我的体力值还有很多，确定要休息么,"I still have plenty of stamina left, are you sure you want to rest?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
休息,Rest,休息,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
取消,Cancel,取消,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
继续游戏,Continue Game,继续游戏,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
开始游戏,Start Game,开始游戏,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
退出游戏,Exit Game,退出游戏,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","Rules for Survival of the Literati clans
 1. Literati clans must cooperate with the warlords controlling their homeland. If dissatisfied, they may cause the warlord to ""naturally"" die...
 2. The purpose of cooperating with warlords is to gain more political resources.
 3. While an individual aristocrat may be weak, the aristocratic clan is vast and inclusive, extending beyond marriage with warlords and dignitaries, turning them into part of their own.
 4. Literati clans collaborate with academic elites to control the commercial resources of a region.
 5. Only by firmly controlling resources can the literati clans gain trust.
 6. If local literati clans cannot merge with incoming ones, they will eliminate them. Externally, literati clans act as a faction, while internally they form cliques. Once external conflicts are resolved, internal divisions arise, splitting the literati clans into multiple forces.","士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","Rules for Survival of the Literati clans
 1. Literati clans must cooperate with the warlords controlling their homeland. If dissatisfied, they may cause the warlord to ""naturally"" die...
 2. The purpose of cooperating with warlords is to gain more political resources.
 3. While an individual aristocrat may be weak, the aristocratic clan is vast and inclusive, extending beyond marriage with warlords and dignitaries, turning them into part of their own.
 4. Literati clans collaborate with academic elites to control the commercial resources of a region.
 5. Only by firmly controlling resources can the literati clans gain trust.
 6. If local literati clans cannot merge with incoming ones, they will eliminate them. Externally, literati clans act as a faction, while internally they form cliques. Once external conflicts are resolved, internal divisions arise, splitting the literati clans into multiple forces.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
陶谦的牌位,Tao Qian's memorial tablet,陶谦的牌位,Tao Qian's memorial tablet,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"不要相信士族!
不要相信士族!!
不要相信士族!!!","Don't trust the literati clans!
Don't trust the literati clans!!
Don't trust the literati clans!!!","不要相信士族!
不要相信士族!!
不要相信士族!!!","Don't trust the literati clans!
Don't trust the literati clans!!
Don't trust the literati clans!!!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  这里以《三国志》和《英雄记》为基石，融合了丰富的
想象力与独特的文学创作。我们邀请你从“阴谋论”的视
角探索这段历史，体验一个充满策略与权谋的传奇时代。
在这个世界中，历史人物与事件交织着未知的秘密与背
后的算计。请做好准备，揭开那些隐藏在历史缝隙中的
真相。
","Background you need to know before starting the game: (Scroll to the bottom to start)
 The game draws primarily from Records of the Three Kingdoms and Book of Heroes. While it strives to stay true to historical facts, elements of imagination and fictional storytelling are present. Hence, the game's name contains the words ""conspiracy theory."". Please view it as a form of dramatization, and refer to the introduction below.","进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  游戏背景参照《三国志》和《英雄记》二本资料为主，
尽力和史实贴切，但不免有想象和文学作品杜撰的痕迹，
所以该游戏名字包含“阴谋论”三个字，请各位玩家将
其当成某种演义，并参照下面的介绍
--------------------------------------------------
","Background you need to know before starting the game: (Scroll to the bottom to start)
 The game draws primarily from Records of the Three Kingdoms and Book of Heroes. While it strives to stay true to historical facts, elements of imagination and fictional storytelling are present. Hence, the game's name contains the words ""conspiracy theory."". Please view it as a form of dramatization, and refer to the introduction below.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","Tao Qian:
 Tao Qian was appointed by the Eastern Han court as the Inspector of Xuzhou. Historical records state that he led troops from Danyang into Xuzhou when he assumed the position. During this process, Tao Qian did not receive the full support of Xuzhou's local literati clans. To solidify his rule, he relied on Xuzhou's middle factions and particularly trusted the powerful Mi Zhu, hoping to maintain balance between the different factions through his mediation.","陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","Tao Qian:
 Tao Qian was appointed by the Eastern Han court as the Inspector of Xuzhou. Historical records state that he led troops from Danyang into Xuzhou when he assumed the position. During this process, Tao Qian did not receive the full support of Xuzhou's local literati clans. To solidify his rule, he relied on Xuzhou's middle factions and particularly trusted the powerful Mi Zhu, hoping to maintain balance between the different factions through his mediation.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","Mi Zhu:
 Mi Zhu was a representative of the Great Clans in Xuzhou, rising to prominence due to his merchant background during Tao Qian's reliance on the Danyang faction. He was appointed as the Assistant Administrator of Xuzhou, essentially becoming Tao Qian's right-hand man. Mi Zhu clearly understood that his rise was largely due to Tao Qian's support, and thus, like Lü Buwei in history, he might choose to invest in promising individuals in order to continue strengthening his family in the future.","糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","Mi Zhu:
 Mi Zhu was a representative of the Great Clans in Xuzhou, rising to prominence due to his merchant background during Tao Qian's reliance on the Danyang faction. He was appointed as the Assistant Administrator of Xuzhou, essentially becoming Tao Qian's right-hand man. Mi Zhu clearly understood that his rise was largely due to Tao Qian's support, and thus, like Lü Buwei in history, he might choose to invest in promising individuals in order to continue strengthening his family in the future.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
