id,zh,ru,repair,reson
我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,"Я — Тао Шан... Что происходит« Разве меня не должны звать Лю Бэй» Думаю, я должен быть в Сяопэе. ",,
纸张背后好像还有字..我瞧瞧..,纸张背后好像还有字..我瞧瞧..,"Кажется, на обратной стороне бумаги есть еще текст... Дай-ка взгляну... ",,
家仆,家仆,Домашний слуга,,
家仆(邪恶),家仆(邪恶),Домашний слуга (Злой),,
少爷，我进来了 嘿嘿,少爷，我进来了 嘿嘿,"Господин, я зашёл. Хе-хе. ",,
你...你为什么带着刀,你...你为什么带着刀,Ты... почему у тебя нож?,,
啊,啊,Аааааа!,,
刘备,刘备,Лю Бэй,,
啊..原来是一场噩梦..,啊..原来是一场噩梦..,Ах... это был всего лишь кошмар…,,
前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,"Последние дни я занимался делами в Сюйчжоу, а вчера вечером только вернулся. Чувствую сильную усталость. ",,
(不过能做这样的噩梦，很可能与这边的烂摊子有关..),（不过能做这样的噩梦，很可能与这边的烂摊子有关..）,"(Однако такой кошмар, вероятно, связан с беспорядком здесь... )",,
大人，外面有人求见,大人，外面有人求见,"Господин, снаружи кто-то просит встречи с вами.",,
仆人,仆人,Слуга,,
好吧 让他进来吧,好吧 让他进来吧,"Ладно, впусти его.",,
（我总是预感有什么大事要发生，我想花时间筹备下）,（我总是预感有什么大事要发生，我想花时间筹备下）,"（У меня постоянно предчувствие, что случится что-то важное, поэтому я хочу потратить время на подготовку.）",,
陈群,陈群,Чэнь Цюнь,,
将军 时候不早了，该去处理政务了,将军 时候不早了，该去处理政务了,"Генерал, уже поздно, пора заняться государственными делами. ",,
会有很多政务需要处理么...,会有很多政务需要处理么...,Придётся ли решать много государственных дел...?,,
当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,"Конечно, но если, генерал, вы хотите облегчить себе жизнь, вы можете оставить эти дела нам, местным знатным семьям. Вам нужно будет только поставить подпись. ",,
不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,"Нет, так не пойдёт. Я уже говорил, что Тао Цяня доверил мне все дела Сяопэя, и это знак его доверия. Более того, я должен нести ответственность перед народом, находящимся под моим управлением. Впредь все дела в Сюйчжоу должны согласовываться со мной.",,
如果真要这样的话 ，如你所愿 将军,如果真要这样的话 ，如你所愿 将军,"Если вы настаиваете, как пожелаете, генерал. ",,
让我们重新熟悉下政务操作..,让我们重新熟悉下政务操作..,Давайте снова ознакомимся с управлением государственными делами…,,
您需要前往府邸，在哪里你可以处理基础的政府公文,您需要前往府邸，在那里你可以处理基础的政府公文,"Вам нужно отправиться в дворец, где вы сможете заниматься основными государственными документами. ",,
大人，外面有军情急报,大人，外面有军情急报,"Господин, снаружи срочный военный доклад.",,
快请进,快请进,Быстро входите.,,
将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,"Генерал, мой бывший коллега, тот самый, кто убил отца Цао Цао, теперь скрылся в горах, стал бандитом и терроризирует народ. Господин Тао приказал генералу Лю отправить людей для помощи в решении этого вопроса. ",,
好，我这就安排..,好，我这就安排..,"Хорошо, я сейчас всё устрою. ",,
前往演武场进行征伐任务,前往演武场进行征伐任务,Отправляйтесь на тренировочную площадку для выполнения миссии по подавлению.,,
将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,"Генерал, перед тем как вы отправитесь на встречу в Сяопэй, вы много раз просили меня организовать встречи с учёными. Прекрасные новости — мастер Чжэн Сюань согласился встретиться с вами!",,
真的？郑大师同意见我了,真的？郑大师同意见我了,Правда« Мастер Чжэн согласился встретиться со мной»,,
正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,"Именно так. Я несколько раз отправлял людей, и в конце концов мастер Чжэн согласился. Он слышал о вашем интересе к учёным знаниям и готов пообщаться с вами. ",,
好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,"Отлично, это просто замечательно! Мастер Чжэн — один из величайших учёных нашего времени. Получение его наставлений принесёт большую пользу нашему управлению. Я немедленно отправляюсь, чтобы встретиться с ним.",,
前往城外及军事驻地 可以选择拜见城外的学者,前往城外及军事驻地 可以选择拜见城外的学者,Отправляйтесь за город и в военные посты. Вы можете выбрать визит к учёным за пределами города.,,
信件上是这么说，糜竺大人和陈登大人再等着你呢？,信件上是这么说，糜竺大人和陈登大人再等着你呢？,"В письме сказано, что лорд Ми Чжу и лорд Чэнь Дэн ждут вас.",,
(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),"(Это правда? Хотя он намекнул на это... мои инстинкты подсказывают, что здесь что-то не так. )",,
将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,"Генерал, вы настоящий талант. Под вашим управлением народ Сюйчжоу будет процветать. Лорд Тао «спокоен», доверяя вам Сюйчжоу. ",,
容我考虑考虑..,容我考虑考虑..,Позвольте мне это обдумать...,,
陈群您怎么看?,陈群您怎么看?,"Чэнь Цюнь, что вы думаете по этому поводу? ",,
将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,"Генерал, вы хотите, чтобы я говорил с вами как чиновник или как друг?",,
那就以朋友身份跟我说吧,那就以朋友身份跟我说吧,Тогда говори со мной как друг.,,
将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,"Генерал, воды Сюйчжоу очень мутные... Я не хочу, чтобы вы попали в этот водоворот. Там сложная игра сил, и они дали вам титул наместника не для того, чтобы вы просто сорвали плоды успеха. ",,
明白了..,明白了..,Понял…,,
大人考虑怎么样了？,大人考虑怎么样了？,"Генерал, вы приняли решение?",,
我觉得...,我觉得...,Я думаю...,,
将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,"Генерал, позвольте мне спросить: вы действительно подчиненный Тао Цяня или верный подданный династии Хань? ",,
（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,"(Эти слова — полная чепуха... Я уже завоевал сердца народа здесь, и даже Цао Бао ничего не может мне сделать. Однако, если я хочу достичь великих дел, он как раз сказал то, что у меня на душе. )",,
（其实我本来就打算接受的）,（其实我本来就打算接受的）,"(На самом деле, я изначально собирался согласиться.)",,
公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,"В конце 194 года нашей эры Лю Бэй взял под контроль Сюйчжоу, и в то же время он перенёс столицу штата в Ся Пи — началась новая игра за власть! ",,
看来，我没法拒绝你..,看来，我没法拒绝你..,"Похоже, я не могу тебе отказать…",,
我的体力值还有很多，确定要休息么,我的体力值还有很多，确定要休息么,"У меня ещё много энергии, точно хотите отдохнуть? ",,
休息,休息,Отдых,,
取消,取消,Отмена,,
继续游戏,继续游戏,Продолжить,,
开始游戏,开始游戏,Начать,,
退出游戏,退出游戏,Выйти,,
"士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","Правила выживания аристократии 
1. Аристократы должны сотрудничать с военачальниками, контролирующими их родину. Если аристократия недовольна, они могут вызвать ""естественную"" смерть военачальника... 
2. Цель сотрудничества с военачальниками — получение большего количества политических ресурсов. 
3. Хотя отдельный аристократ может быть слаб, аристократический род велик и инклюзивен, распространяясь через браки с военачальниками и знатью, превращая их в своих. 
4. Аристократы сотрудничают с академической элитой, контролируя коммерческие ресурсы региона. 
5. Только благодаря твёрдому контролю над ресурсами аристократия может заслужить доверие.
6. Если местные аристократы не могут объединиться с прибывшими, они устранят их. Внешне аристократы действуют как фракция, но внутри формируются группы. Когда внешние конфликты решены, внутренние разногласия приводят к расколу на несколько сил. ",,
陶谦的牌位,陶谦的牌位,по табличке Тао Цяня.,,
"不要相信士族!
不要相信士族!!
不要相信士族!!!","不要相信士族!
不要相信士族!!
不要相信士族!!!","Не доверяй аристократам! 
Не доверяй аристократам! ！
Не доверяй аристократам! ！！",,
"进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  这里以《三国志》和《英雄记》为基石，融合了丰富的
想象力与独特的文学创作。我们邀请你从“阴谋论”的视
角探索这段历史，体验一个充满策略与权谋的传奇时代。
在这个世界中，历史人物与事件交织着未知的秘密与背
后的算计。请做好准备，揭开那些隐藏在历史缝隙中的
真相。
","进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  游戏背景参照《三国志》和《英雄记》二本资料为主，
尽力和史实贴切，但不免有想象和文学作品杜撰的痕迹，
所以该游戏名字包含“阴谋论”三个字，请各位玩家将
其当成某种演义，并参照下面的介绍
--------------------------------------------------
","Информация, которую нужно знать перед началом игры: (Прокрутите вниз, чтобы начать) 
  Игра основывается в основном на «Записях о Трёх царствах» и «Книге героев». Мы стараемся придерживаться исторических фактов, но также присутствуют элементы воображения и вымышленные события. Поэтому игра названа «Теория заговора». Пожалуйста, воспринимайте её как литературную интерпретацию и обратитесь к приведённому ниже описанию. ",,
"陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","Тао Цянь: 
  Тао Цянь был назначен двором Восточной Хань инспектором Сюйчжоу. Согласно историческим записям, он привел войска из Даньяна в Сюйчжоу, когда занял этот пост. Однако в этом процессе Тао Цянь не получил полной поддержки местной аристократии Сюйчжоу. Чтобы укрепить свою власть, он опирался на средние фракции Сюйчжоу и особенно доверял могущественному Ми Чжу, надеясь через его посредничество сохранить баланс между различными фракциями. ",,
"糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","Ми Чжу: 
  Ми Чжу был представителем могущественных кланов Сюйчжоу, который поднялся благодаря своему происхождению из купеческой семьи в период, когда Тао Цянь полагался на даньянскую фракцию. Он был назначен помощником администратора Сюйчжоу и фактически стал правой рукой Тао Цяня. Ми Чжу прекрасно понимал, что его возвышение было заслугой Тао Цяня, и, подобно Люй Бувэю в истории, мог решиться инвестировать в перспективных людей, чтобы в будущем продолжить укреплять свою семью. ",,
"陈登:
  陈登是陶谦的重要幕僚之一，具有卓越的政治才能，为陶谦出谋划策。作为徐州的士族之一，陈登虽然忠于陶谦，但他更关注的是徐州士族群体的整体利益。","陈登:
  陈登是陶谦的重要幕僚之一，具有卓越的政治才能，为陶谦出谋划策。作为徐州的士族之一，陈登虽然忠于陶谦，但他更关注的是徐州士族群体的整体利益。","Чэнь Дэн: 
  Чэнь Дэн был одним из главных советников Тао Цяня, известным своими выдающимися политическими способностями и стратегическими советами. Будучи членом аристократии Сюйчжоу, хотя он был лоялен Тао Цяню, Чэнь Дэн главным образом заботился о коллективных интересах аристократов Сюйчжоу. ",,
"刘备:
  刘备是玩家扮演的角色，他在游戏中初登场时，是为了调节徐州与曹操之间的矛盾。随后，刘备长期驻扎在徐州的小沛，逐渐得到了陶谦的认可。尽管刘备在初期缺乏经验，但他凭借着自己的能力和智慧逐渐崭露头角。","刘备:
  刘备是玩家扮演的角色，他在游戏中初登场时，是为了调节徐州与曹操之间的矛盾。随后，刘备长期驻扎在徐州的小沛，逐渐得到了陶谦的认可。尽管刘备在初期缺乏经验，但他凭借着自己的能力和智慧逐渐崭露头角。","Лю Бэй: 
  Лю Бэй — это персонаж, за которого играет игрок. Он впервые появляется в игре, чтобы урегулировать конфликт между Сюйчжоу и Цао Цао. Позже Лю Бэй надолго остаётся в Сяопэе, части Сюйчжоу, и постепенно завоёвывает признание Тао Цяня. Хотя вначале у него не было опыта, он постепенно выделился благодаря своим навыкам и мудрости. ",,
"曹豹:
曹豹是陶谦的部将之一，可能属于丹阳派系。他在陶谦统治时期负责徐州的军事防务，是陶谦的重要军事支柱之一。","曹豹:
曹豹是陶谦的部将之一，可能属于丹阳派系。他在陶谦统治时期负责徐州的军事防务，是陶谦的重要军事支柱之一。","Цао Бао: 
  Цао Бао был одним из генералов Тао Цяня и, возможно, принадлежал к фракции Даньян. Во время правления Тао Цяня он отвечал за военную оборону Сюйчжоу и был одной из ключевых военных опор Тао Цяня. ",,
"地理名词：
徐州城
  徐州城是陶谦的权力中心，也是徐州的政治、经济和文化中心。同时徐州城也是各派系角逐的焦点。

小沛
  小沛是徐州下属的一个重要城镇，刘备在此地长期驻扎，并逐渐积累了自己的实力。小沛地理位置重要，是徐州防御的关键节点之一。","地理名词：
徐州城
  徐州城是陶谦的权力中心，也是徐州的政治、经济和文化中心。同时徐州城也是各派系角逐的焦点。

小沛
  小沛是徐州下属的一个重要城镇，刘备在此地长期驻扎，并逐渐积累了自己的实力。小沛地理位置重要，是徐州防御的关键节点之一。","Город Сюйчжоу: 
  Город Сюйчжоу — это центр власти Тао Цяня, а также политический, экономический и культурный центр региона Сюйчжоу. Он также является ключевой точкой соперничества различных фракций. 
Сяопэй: 
  Сяопэй — важный город под управлением Сюйчжоу, где Лю Бэй долгое время был расквартирован, постепенно накапливая свои силы. Стратегическое расположение делает его ключевым узлом обороны Сюйчжоу. ",,
读完了,读完了,Закончил читать.,,
翻页,翻页,Перевернуть страницу.,,
好久没上街了，看上去依然很热闹..,好久没上街了，看上去依然很热闹..,"Давненько не был на улице, но, похоже, здесь по-прежнему оживленно.. ",,
不过我得赶快去府邸 处理今天的公务才行!,不过我得赶快去府邸 处理今天的公务才行!,"Но мне нужно скорее отправиться в дворец, чтобы заняться сегодняшними делами! ",,
同意,同意,Согласен,,
现在不是去那些地方的时候，我必须前往议事厅才行,现在不是去那些地方的时候，我必须前往议事厅才行,"Сейчас не время идти в те места, мне нужно отправиться в зал совета. ",,
现在不是去那些地方的时候，我必须前往城外拜访学者才行,现在不是去那些地方的时候，我必须前往城外拜访学者才行,"Сейчас не время идти в те места, мне нужно посетить ученого за пределами города. ",,
我需要前往城门军事驻地,我需要前往城门军事驻地,Мне нужно отправиться на военный пост у городских ворот.,,
我得回家了..,我得回家了...,Мне пора домой...,,
我需要前往城外校场，去看看我的老部下,我需要前往城外校场，去看看我的老部下,"Мне нужно отправиться на плац за городом, чтобы встретиться с моими старыми подчинёнными. ",,
我需要前往城外军事驻地进行军事行动,我需要前往城外军事驻地进行军事行动,Мне нужно отправиться на военный пост за городом для проведения военной операции.,,
你想前去哪里？,你想前去哪里？,Куда ты хочешь пойти?,,
演武场,演武场,Учебный плац,,
拜访大儒,拜访大儒,Посещение великого учёного,,
刘备一行人来到了昌邑村，找到了郑玄的住处。这是一间朴素但整洁的草屋，周围种满了各种草药和竹子。,刘备一行人来到了昌邑村，找到了郑玄的住处。这是一间朴素但整洁的草屋，周围种满了各种草药和竹子。,"Лю Бэй с сопровождающими прибыли в деревню Чанъи и нашли жилище Чжэн Сюаня. Это была простая, но аккуратная соломенная хижина, окружённая различными лекарственными травами и бамбуком. ",,
学生刘备，特来拜见先生。,学生刘备字玄德，特来拜见先生。,"Ученик Лю Бэй, прозванный Сюаньдэ. Я пришёл, чтобы засвидетельствовать своё почтение вам, учитель. ",,
刘备将一些肉干和礼物递给了郑玄的童子,刘备将一些肉干和礼物递给了郑玄的童子,Лю Бэй передал сушёное мясо и подарки ученику Чжэн Сюаня.,,
久闻将军大名，今日一见，果然不同凡响。,久闻将军大名，今日一见，果然不同凡响,"Я давно слышал о вашем великом имени, генерал. Сегодня, встретившись с вами, я убедился, что вы действительно незаурядная личность. ",,
屋内布置简单，但书架上摆满了各种经书和典籍。郑玄与刘备坐在一张竹制的几案旁，开始交谈。,屋内布置简单，但书架上摆满了各种经书和典籍。郑玄与刘备坐在一张竹制的几案旁，开始交谈。,"Комната была просто обставлена, но полки были заполнены классическими книгами и текстами. Чжэн Сюань и Лю Бэй сели за бамбуковый стол и начали беседу. ",,
刘将军，你有何所求？,刘将军，你有何所求？,"Генерал Лю, чего вы желаете?",,
学生听闻先生学问渊博，特来请教治国之道。,学生听闻先生学问渊博，特来请教治国之道。,"Я слышал о вашем обширном знании, учитель, и пришел просить наставления в управлении страной. ",,
治国之道，首在修身为本。君能修身，则可,治国之道，首在修身为本。君能修身，则可,"Путь к управлению страной начинается с самосовершенствования. Если правитель сможет совершенствовать себя, то сможет... ",,
此处为辩经小游戏，按照规则点击获得分数，游戏结束可能获得额外奖励,此处为辩经小游戏，按照规则点击获得分数，游戏结束可能获得额外奖励,"Это мини-игра по дебатам. Нажимайте в соответствии с правилами, чтобы заработать очки. По окончании игры можно получить дополнительные награды. ",,
将军您来探讨学问啦？,将军您来探讨学问啦？,"Генерал, вы пришли обсудить науку? ",,
感谢先生，学生受益良多。,感谢先生，学生受益良多。,"Спасибо, учитель. Я многому научился.",,
有机会再来交流探讨，交流往往意味着互相学习,有机会再来交流探讨，交流往往意味着互相学习,"Будет возможность, давайте снова обсудим и обменяемся мнениями. Обмен часто означает взаимное обучение. ",,
谁说学生不能是老师的老师呢！,谁说学生不能是老师的老师呢！,"Кто сказал, что ученик не может быть учителем для своего учителя? ",,
玄德早日回去休息，估计明天你还有公务要忙呢！,玄德早日回去休息，估计明天你还有公务要忙呢！,"Сюаньдэ, тебе стоит пораньше отдохнуть. Завтра, скорее всего, у тебя будет много государственных дел! ",,
点击右上角关闭按钮可以离开该页面,点击右上角关闭按钮可以离开该页面,"Нажмите на кнопку закрытия в правом верхнем углу, чтобы покинуть эту страницу. ",,
将军，我在这里候您多时了,将军，我在这里候您多时了,"Генерал, я ждал вас здесь долгое время. ",,
这些是当地的名门望族，不过总体来说，可以分为2个阵营,这些是当地的名门望族，不过总体来说，可以分为2个阵营,"Это местные знатные семьи, но в целом их можно разделить на два лагеря. ",,
徐州的本土派和外来派，将军大人可以在屏幕左侧查看具体数据，并在议事说明中查看具体议事规则,徐州的本土派和外来派，将军大人可以在屏幕左侧查看具体数据，并在议事说明中查看具体议事规则,"Местная и приезжая фракции Сюйчжоу, генерал, вы можете просмотреть конкретные данные на левой стороне экрана и ознакомиться с правилами обсуждения в разделе объяснения совета. ",,
本土派是本地的士族、豪族，他们出生在这里，当然因为三户法的影响，他们当不了这里的长官，往往只能由外地人当长官，他们只能被长官任命当这里的二把手,本土派是本地的士族、豪族，他们出生在这里，当然因为三户法的影响，他们当不了这里的长官，往往只能由外地人当长官，他们只能被长官任命当这里的二把手,"Местная фракция состоит из здешних дворян и аристократов. Они родились здесь, но из-за влияния Закона о трёх домах они не могут стать правителями этой области. Правителями обычно назначаются чужаки, а местные могут служить только в качестве заместителей. ",,
将军大人的法律需要得到二个派系的承认，当然目前大人的法律 在下看起来并无侵害他们利益之处，我想二个派系都会支持您的,将军大人的法律需要得到二个派系的承认，当然目前大人的法律 在下看起来并无侵害他们利益之处，我想二个派系都会支持您的,"Генерал, ваши законы должны быть признаны обеими фракциями. Однако, насколько я вижу, ваши нынешние законы не затрагивают их интересы. Я полагаю, что обе фракции поддержат вас. ",,
一段富有成效的沟通，议事中针对【{{GameManager.sav.curLawName}}】立法坦率交换了意见,一段富有成效的沟通，会议中坦率交换了意见,"Продуктивное общение, в ходе которого на встрече откровенно обменялись мнениями. ",,
(我现在事情还没做完，不能离开这里),(我现在事情还没做完，不能离开这里),"(Я еще не закончил свои дела, поэтому не могу уйти отсюда.) ",,
第一次会议圆满结束了，将军您全票通过了法律,第一次会议圆满结束了，将军您全票通过了法律,"Первое собрание успешно завершилось, генерал, и ваш закон был единогласно принят. ",,
毕竟大家都在将军您的领导下众志成城，法律通过是必然的事情！,毕竟大家都在将军您的领导下众志成城，法律通过是必然的事情！,"В конце концов, под вашим руководством, генерал, все объединены как один. Принятие закона было неизбежным! ",,
不过人和人之间不总是完全利益一致，有可能未来有些通过不了的法律,不过人和人之间不总是完全利益一致，有可能未来有些通过不了的法律,"Однако, интересы людей не всегда полностью совпадают, и в будущем возможно, что некоторые законы не будут приняты. ",,
如果支持您的人数不达到一半，就得另外想想办法了...,如果支持您的人数不达到一半，就得另外想想办法了...,"Если количество людей, поддерживающих вас, не достигнет половины, придется искать другое решение... ",,
比如讨好他们，但这也并不明智，有的时候您讨好1个人，就会得罪10个人,比如讨好他们，但这也并不明智，有的时候您讨好1个人，就会得罪10个人,"Например, вы можете попытаться их умиротворить, но это не всегда мудро. Иногда, угождая одному человеку, вы можете обидеть десятерых. ",,
哈哈哈，我今天失言说太多了，将军您也累了，您可以返回自己的住所休息了,哈哈哈，我今天失言说太多了，将军您也累了，您可以返回自己的住所休息了,"Ха-ха-ха, сегодня я наговорил лишнего. Генерал, вы, наверное, тоже устали. Можете вернуться в своё жилище и отдохнуть. ",,
嗯，作为一个藩属，他学习的很快，毕竟他在公孙瓒那边也有不少经验，爱民、对待士人都很合适,嗯，作为一个藩属，他学习的很快，毕竟他在公孙瓒那边也有不少经验，爱民、对待士人都很合适,"Да, как вассал, он быстро учится. В конце концов, у него был немалый опыт с Гунсунь Цзанем. Его любовь к народу и обращение с учеными очень уместны. ",,
哈哈..看来你控制的很好，那你捞的不少吧，现在陶谦大人病重，你应该赚了不少田地、矿场、伐木场吧,哈哈..看来你控制的很好，那你捞的不少吧，现在陶谦大人病重，你应该赚了不少田地、矿场、伐木场吧,"Ха-ха... Похоже, ты все хорошо контролируешь. Наверное, ты неплохо на этом заработал« Теперь, когда Тао Цянь тяжело болен, ты, должно быть, приобрел много земель, шахт и лесозаготовок» ",,
