id,zh,ja,repair,reson
(不过能做这样的噩梦，很可能与这边的烂摊子有关..),（不过能做这样的噩梦，很可能与这边的烂摊子有关..）,(こんな悪夢を見るのは、ここの厄介事と関係があるかもしれない…。 ),【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
大人，外面有人求见,大人，外面有人求见,大人、外にお会いしたい方がいます。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
仆人,仆人,従者,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
好吧 让他进来吧,好吧 让他进来吧,わかった、彼を入れてくれ。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
（我总是预感有什么大事要发生，我想花时间筹备下）,（我总是预感有什么大事要发生，我想花时间筹备下）,（何か大きなことが起こりそうな予感がいつもしているので、少し時間をかけて準備したい。）,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
陈群,陈群,陳 群,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军 时候不早了，该去处理政务了,将军 时候不早了，该去处理政务了,将軍、もう遅いです。そろそろ政務に取り掛かる時間です。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
会有很多政务需要处理么...,会有很多政务需要处理么...,政務はたくさんあるのだろうか…？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,もちろんですが、将軍が楽をしたいのであれば、これらの事務を私たち地元の大家族に任せてください。将軍はただ署名するだけで構いません。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,いや、ダメだ。以前も言ったが、陶公は小沛のすべての事務を私に託しており、これは彼の信頼の証だ。それに、治める民に対しても責任がある。今後、徐州のすべてのことは必ず私に伺ってから処理するように。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
如果真要这样的话 ，如你所愿 将军,如果真要这样的话 ，如你所愿 将军,本当にそうお望みなら、かしこまりました、将軍。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
让我们重新熟悉下政务操作..,让我们重新熟悉下政务操作..,政務の操作をもう一度確認しましょう…。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
您需要前往府邸，在哪里你可以处理基础的政府公文,您需要前往府邸，在那里你可以处理基础的政府公文,府邸に向かう必要があります。そこで基本的な政府の文書を処理できます。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
大人，外面有军情急报,大人，外面有军情急报,大人、外で緊急の軍報があります。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
快请进,快请进,早くお入りください。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,将軍、かつての同僚、曹操の父親を殺した者が、今は山中に逃げ込み、山賊となって民を苦しめています。陶大人は劉将軍に、この件を処理するために人を派遣するよう命じました。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
好，我这就安排..,好，我这就安排..,よし、すぐに手配します…。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
前往演武场进行征伐任务,前往演武场进行征伐任务,演武場へ向かい、討伐任務を遂行する。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,将軍、小沛に会議に行かれる前に、何度も学者たちとの面会を依頼されていましたが、朗報です！鄭玄大師があなたにお会いしたいそうです！,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
真的？郑大师同意见我了,真的？郑大师同意见我了,本当に？鄭大師が私に会ってくれるのか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,正是。属下派人多次拜访，终于说服了郑大师。他听说您对学问颇有兴趣，愿意与您交流一番。,その通りです。部下が何度も訪ねて、ついに鄭大師を説得しました。将軍が学問に興味を持っていると聞き、ぜひ交流したいとのことです。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,好，真是太好了！郑大师是当今的大儒，能得到他的指导，对我们治理大有裨益。我立刻出发，前去见他,よし、素晴らしい！鄭大師は今の時代の大儒です。彼の指導を受けることは、我々の統治に大いに役立つでしょう。すぐに出発して、彼に会いに行きます。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
前往城外及军事驻地 可以选择拜见城外的学者,前往城外及军事驻地 可以选择拜见城外的学者,城外および軍事駐屯地に向かい、城外の学者を訪ねることができます。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
信件上是这么说，糜竺大人和陈登大人再等着你呢？,信件上是这么说，糜竺大人和陈登大人再等着你呢？,手紙には、糜竺殿と陳登殿があなたを待っていると書かれています。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),(这是真的么？虽然他隐约透露这种意思..但我本能告诉我，不太对),(本当なのか？彼は確かにそれをほのめかしたけれど…本能的に何かがおかしいと感じる。),【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,将军可是大才，治理徐州，百姓有福，陶大人可是“放心”才把徐州交给你,将軍は大変な才能をお持ちです。将軍の治世の下で、徐州の民は幸せになるでしょう。陶大人が徐州を託したのは、あなたの能力に「安心」しているからです。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
容我考虑考虑..,容我考虑考虑..,少し考えさせてください…,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
陈群您怎么看?,陈群您怎么看?,陳群、あなたの意見はどうですか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,将军，你是希望我以官员的身份来跟你说，还是朋友的身份..,将軍、官僚として話すべきか、それとも友人として話すべきか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
那就以朋友身份跟我说吧,那就以朋友身份跟我说吧,では、友人として話してくれ。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,将军，徐州的水很深..我不希望将军去摊这个浑水，那里势力复杂，他们并不是让你摘桃子才把刺史给您的,将軍、徐州の状況は非常に複雑です… あなたにこの泥沼に入って欲しくありません。彼らがあなたに刺史の職を渡したのは、決して甘い果実を摘ませるためではありません。,将軍、徐州の状況は非常に複雑です… あなたにこの泥沼に入って欲しくありません。彼らがあなたに刺史の職を渡したのは、決して甘い果実を摘ませるためではありません。,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
明白了..,明白了..,分かりました…,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
大人考虑怎么样了？,大人考虑怎么样了？,将軍、決断はどうされましたか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
我觉得...,我觉得...,私は思うに…,私は思うに…,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,将军，容下官说一句话，将军究竟是陶谦的下属 还是大汉的臣子？,将軍、ひと言申し上げます。あなたは本当に陶謙の部下ですか、それとも漢王朝の忠臣ですか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,（这话就是谬谈了..我在这边深得民心，哪怕曹豹也不能拿我怎么样，但是如若 想成就一番事业，他恰恰是说出我心中所言）,(これは誤った言葉だ…私はここで既に民心を得ており、曹豹でさえ私に何もできない。しかし、大きな事業を成し遂げたいなら、彼の言葉は確かに私の心に響いている。 ),(これは誤った言葉だ…私はここで既に民心を得ており、曹豹でさえ私に何もできない。しかし、大きな事業を成し遂げたいなら、彼の言葉は確かに私の心に響いている。 ),标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
（其实我本来就打算接受的）,（其实我本来就打算接受的）,(実は、最初から受け入れるつもりでした。 ),【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,公元194年末，刘备入主徐州，同时他将州治迁往下邳，一场新的权力的游戏开始了！,西暦194年末、劉備が徐州を掌握し、同時に州都を下邳に移しました。新しい権力のゲームが始まりました！,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
看来，我没法拒绝你..,看来，我没法拒绝你..,どうやら、あなたを拒むことはできないようですね…,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
我的体力值还有很多，确定要休息么,我的体力值还有很多，确定要休息么,体力はまだたくさん残っているけど、本当に休みますか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
休息,休息,休む,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
取消,取消,取消,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
继续游戏,继续游戏,ゲームを続ける,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
开始游戏,开始游戏,ゲームを開始する,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
退出游戏,退出游戏,ゲームを終了する,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
"士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","士族存续怪谈
1.士族必须和控制家乡的军阀合作,士族如果对军阀感到不满，有可能会让军阀“自然”死亡...

2.士族和军阀合作的目的是为了得到更多政治资源

3.士族个体虽然很弱小，但是士族的族的范围很广大，他有强大的包容性，不限于跟军阀和达官显贵联姻，将他们变成我们

4.士族会跟学阀进行合作，掌控一个地区的商业资源
5.士族只有牢牢把控资源才能得到他人的信任
6.如果一个地方存在本地/士族，本地士族如果吞并不成就会将外来士族干掉，士族对外论派，对内论系，当士族解决掉外部矛盾时，自身会因为内部矛盾分成多股势力","士族存続守則
1. 士族は故郷を支配する軍閥と協力しなければならない。士族が軍閥に不満を抱けば、軍閥を「自然死」させる可能性がある…
2. 軍閥との協力の目的は、より多くの政治的資源を得るためである。
3. 士族の個人は弱いかもしれないが、士族は広大で強力な包容力を持ち、軍閥や高官と結婚して彼らを仲間に引き入れる。
4. 士族は学閥と協力し、地域の商業資源を掌握する。
5. 士族は資源をしっかりと握ることで他者の信頼を得ることができる。
6. ある地域に地元の士族が存在する場合、合併できなければ外来の士族を排除し、外部に対しては派閥として行動し、内部では系列で行動する。外部の矛盾が解決されると、内部の矛盾によって士族は分裂する。","士族存続守則
1. 士族は故郷を支配する軍閥と協力しなければならない。士族が軍閥に不満を抱けば、軍閥を「自然死」させる可能性がある…
2. 軍閥との協力の目的は、より多くの政治的資源を得るためである。
3. 士族の個人は弱いかもしれないが、士族は広大で強力な包容力を持ち、軍閥や高官と結婚して彼らを仲間に引き入れる。
4. 士族は学閥と協力し、地域の商業資源を掌握する。
5. 士族は資源をしっかりと握ることで他者の信頼を得ることができる。
6. ある地域に地元の士族が存在する場合、合併できなければ外来の士族を排除し、外部に対しては派閥として行動し、内部では系列で行動する。外部の矛盾が解決されると、内部の矛盾によって士族は分裂する。",标点格式/句式过长口型不匹配；原译评分6/10；日语玩家感受：能看懂大意，但会觉得术语不统一、不像同一款游戏。
陶谦的牌位,陶谦的牌位,陶謙の位牌,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
"不要相信士族!
不要相信士族!!
不要相信士族!!!","不要相信士族!
不要相信士族!!
不要相信士族!!!","士族を信じるな！
士族を信じるな！ ！
士族を信じるな！ ！！","士族を信じるな！
士族を信じるな！ ！
士族を信じるな！ ！！",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  这里以《三国志》和《英雄记》为基石，融合了丰富的
想象力与独特的文学创作。我们邀请你从“阴谋论”的视
角探索这段历史，体验一个充满策略与权谋的传奇时代。
在这个世界中，历史人物与事件交织着未知的秘密与背
后的算计。请做好准备，揭开那些隐藏在历史缝隙中的
真相。
","进入游戏你需要了解的背景：(滑动到底部可以开始游戏)
  游戏背景参照《三国志》和《英雄记》二本资料为主，
尽力和史实贴切，但不免有想象和文学作品杜撰的痕迹，
所以该游戏名字包含“阴谋论”三个字，请各位玩家将
其当成某种演义，并参照下面的介绍
--------------------------------------------------
","ゲームを始める前に知っておくべき背景：（下までスクロールしてゲームを開始）
ゲームの背景は主に「三国志」と「英雄記」に基づいています。史実に忠実であるよう努めていますが、想像や文学作品の創作が含まれています。したがって、このゲームの名前には「陰謀論」が含まれています。プレイヤーの皆様には、これを一種の物語として受け入れ、下記の説明を参考にしていただければと思います。","ゲームを始める前に知っておくべき背景：（下までスクロールしてゲームを開始）
ゲームの背景は主に「三国志」と「英雄記」に基づいています。史実に忠実であるよう努めていますが、想像や文学作品の創作が含まれています。したがって、このゲームの名前には「陰謀論」が含まれています。プレイヤーの皆様には、これを一種の物語として受け入れ、下記の説明を参考にしていただければと思います。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","陶谦：
  陶谦是东汉朝廷任命的徐州刺史，史料记载他曾带着丹阳兵进入徐州，担任刺史。在这个过程中，陶谦并未得到徐州本土士族的最大力度支持。为了稳固自己的统治，陶谦重用了徐州的中间派系，并且特别倚重了豪族糜竺，希望通过他的调节来维持各派系之间的平衡。","陶謙：
陶謙は東漢朝廷から徐州刺史に任命されました。史料によれば、彼は丹陽兵を率いて徐州に入り、刺史を務めました。この過程で、陶謙は徐州の本土士族から最大限の支持を得ることはできませんでした。そこで、彼は徐州の中間派閥を重用し、特に豪族の糜竺を頼り、彼の調停によって各派閥間のバランスを保とうとしました。","陶謙：
陶謙は東漢朝廷から徐州刺史に任命されました。史料によれば、彼は丹陽兵を率いて徐州に入り、刺史を務めました。この過程で、陶謙は徐州の本土士族から最大限の支持を得ることはできませんでした。そこで、彼は徐州の中間派閥を重用し、特に豪族の糜竺を頼り、彼の調停によって各派閥間のバランスを保とうとしました。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","糜竺:
  糜竺是徐州的豪族代表，因其商贾出身而在陶谦重用丹阳派系的过程中得以崛起。他被任命为徐州的别驾，实际上成为了陶谦的副手。糜竺清楚地认识到，他的崛起得益于陶谦的支持，因此他可能会效仿历史上的吕不韦，选择投资有潜力的人物，以期在未来继续壮大自己的家族。","糜竺：
糜竺は徐州の豪族代表であり、商業出身である彼は、陶謙が丹陽派閥を重用する過程で台頭しました。彼は徐州の別駕に任命され、実質的には陶謙の副官となりました。糜竺は、自分の台頭が陶謙の支持によるものであることを明確に認識しており、歴史上の呂不韋のように、有望な人物に投資し、将来的に自身の一族をさらに発展させることを考えていた可能性があります。","糜竺：
糜竺は徐州の豪族代表であり、商業出身である彼は、陶謙が丹陽派閥を重用する過程で台頭しました。彼は徐州の別駕に任命され、実質的には陶謙の副官となりました。糜竺は、自分の台頭が陶謙の支持によるものであることを明確に認識しており、歴史上の呂不韋のように、有望な人物に投資し、将来的に自身の一族をさらに発展させることを考えていた可能性があります。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"陈登:
  陈登是陶谦的重要幕僚之一，具有卓越的政治才能，为陶谦出谋划策。作为徐州的士族之一，陈登虽然忠于陶谦，但他更关注的是徐州士族群体的整体利益。","陈登:
  陈登是陶谦的重要幕僚之一，具有卓越的政治才能，为陶谦出谋划策。作为徐州的士族之一，陈登虽然忠于陶谦，但他更关注的是徐州士族群体的整体利益。","陳登：
陳登は陶謙の重要な幕僚の一人であり、卓越した政治的才能を持ち、陶謙に助言を与えていました。彼は徐州の士族の一員として、陶謙に忠実でしたが、彼の関心は徐州士族全体の利益にありました。","陳登：
陳登は陶謙の重要な幕僚の一人であり、卓越した政治的才能を持ち、陶謙に助言を与えていました。彼は徐州の士族の一員として、陶謙に忠実でしたが、彼の関心は徐州士族全体の利益にありました。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"刘备:
  刘备是玩家扮演的角色，他在游戏中初登场时，是为了调节徐州与曹操之间的矛盾。随后，刘备长期驻扎在徐州的小沛，逐渐得到了陶谦的认可。尽管刘备在初期缺乏经验，但他凭借着自己的能力和智慧逐渐崭露头角。","刘备:
  刘备是玩家扮演的角色，他在游戏中初登场时，是为了调节徐州与曹操之间的矛盾。随后，刘备长期驻扎在徐州的小沛，逐渐得到了陶谦的认可。尽管刘备在初期缺乏经验，但他凭借着自己的能力和智慧逐渐崭露头角。","劉備：
劉備はプレイヤーが操作するキャラクターです。ゲームの初登場時、彼は徐州と曹操の間の対立を調整するために登場します。その後、劉備は徐州の小沛に長期駐留し、徐々に陶謙の認めを得ていきます。初めは経験不足でしたが、彼は自らの能力と知恵を駆使し、次第に頭角を現します。","劉備：
劉備はプレイヤーが操作するキャラクターです。ゲームの初登場時、彼は徐州と曹操の間の対立を調整するために登場します。その後、劉備は徐州の小沛に長期駐留し、徐々に陶謙の認めを得ていきます。初めは経験不足でしたが、彼は自らの能力と知恵を駆使し、次第に頭角を現します。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
"曹豹:
曹豹是陶谦的部将之一，可能属于丹阳派系。他在陶谦统治时期负责徐州的军事防务，是陶谦的重要军事支柱之一。","曹豹:
曹豹是陶谦的部将之一，可能属于丹阳派系。他在陶谦统治时期负责徐州的军事防务，是陶谦的重要军事支柱之一。","曹豹：
曹豹は陶謙の部将の一人であり、おそらく丹陽派に属していました。陶謙の統治時代、彼は徐州の軍事防衛を担当し、陶謙の重要な軍事支柱の一つでした。","曹豹：
曹豹は陶謙の部将の一人であり、おそらく丹陽派に属していました。陶謙の統治時代、彼は徐州の軍事防衛を担当し、陶謙の重要な軍事支柱の一つでした。",标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
