repair,reason
"Rules for Survival of the Literati clans
 1. Literati clans must cooperate with the warlords controlling their homeland. If dissatisfied, they may cause the warlord to ""naturally"" die...
 2. The purpose of cooperating with warlords is to gain more political resources.
 3. While an individual aristocrat may be weak, the aristocratic clan is vast and inclusive, extending beyond marriage with warlords and dignitaries, turning them into part of their own.
 4. Literati clans collaborate with academic elites to control the commercial resources of a region.
 5. Only by firmly controlling resources can the literati clans gain trust.
 6. If local literati clans cannot merge with incoming ones, they will eliminate them. Externally, literati clans act as a faction, while internally they form cliques. Once external conflicts are resolved, internal divisions arise, splitting the literati clans into multiple forces.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
Tao Qian's memorial tablet,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Don't trust the literati clans!
Don't trust the literati clans!!
Don't trust the literati clans!!!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Background you need to know before starting the game: (Scroll to the bottom to start)
 The game draws primarily from Records of the Three Kingdoms and Book of Heroes. While it strives to stay true to historical facts, elements of imagination and fictional storytelling are present. Hence, the game's name contains the words ""conspiracy theory."". Please view it as a form of dramatization, and refer to the introduction below.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Tao Qian:
 Tao Qian was appointed by the Eastern Han court as the Inspector of Xuzhou. Historical records state that he led troops from Danyang into Xuzhou when he assumed the position. During this process, Tao Qian did not receive the full support of Xuzhou's local literati clans. To solidify his rule, he relied on Xuzhou's middle factions and particularly trusted the powerful Mi Zhu, hoping to maintain balance between the different factions through his mediation.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Mi Zhu:
 Mi Zhu was a representative of the Great Clans in Xuzhou, rising to prominence due to his merchant background during Tao Qian's reliance on the Danyang faction. He was appointed as the Assistant Administrator of Xuzhou, essentially becoming Tao Qian's right-hand man. Mi Zhu clearly understood that his rise was largely due to Tao Qian's support, and thus, like Lü Buwei in history, he might choose to invest in promising individuals in order to continue strengthening his family in the future.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Chen Deng:
Chen Deng was one of Tao Qian's key advisors, known for his outstanding political skills and his strategic advice. As a member of Xuzhou's literati clans, although loyal to Tao Qian, Chen Deng was primarily concerned with the collective interests of Xuzhou's literati clans.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Liu Bei:
 Liu Bei is the character played by the player. He initially appears in the game to mediate the conflict between Xuzhou and Cao Cao. Later, Liu Bei stays in Xiaopei, a part of Xuzhou, and gradually earns the recognition of Tao Qian. Although inexperienced at first, Liu Bei begins to stand out through his skills and wisdom.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Cao Bao:
 Cao Bao was one of Tao Qian's generals and likely belonged to the Danyang faction. During Tao Qian's rule, he was responsible for Xuzhou's military defense and served as one of Tao Qian's key military pillars.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Xuzhou City:
 Xuzhou City is Tao Qian's center of power and the political, economic, and cultural hub of Xuzhou. It is also the focal point for competing factions.
Xiaopei:
 Xiaopei is an important town under Xuzhou's administration, where Liu Bei was stationed for an extended period and gradually built up his strength. Its strategic location makes it a key node in Xuzhou's defense.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
But I must hurry to the manor and take care of today's official duties!,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Now is not the time to go to those places, I must visit the scholar outside the city.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
I need to go to the Drill Ground outside the city to see my old subordinates.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
Drill Ground,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Liu Bei and his entourage arrived at Changyi Village and found Zheng Xuan's residence. It was a simple yet tidy thatched cottage, surrounded by various medicinal herbs and bamboo",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"I am your student, Liu Bei, styled Xuande. I have come to pay my respects to you, sir.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"I have long heard of your great reputation, General. Now that I have met you in person, you are indeed extraordinary.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The room was simply furnished, but the bookshelves were filled with various classics and texts. Zheng Xuan and Liu Bei sat by a bamboo table and began their conversation.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"General Liu, what do you seek?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"I have heard of your vast knowledge, teacher, and have come to seek guidance on the principles of governing a country.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The way to govern a country starts with self-cultivation. If a ruler can cultivate themselves, then they can...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"General, are you here to discuss knowledge?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"General, I have been waiting for you here for a long time.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"The local faction and the outsider faction of Xuzhou, General, you can view specific data on the left side of the screen and check the detailed discussion rules in the council instructions.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The local faction consists of native Literati and Great Clans. They were born here, but due to the influence of the 'Three Household Law,' they cannot become the officials of this region. The officials are often appointed from outsiders, and the locals can only serve as second-in-command under them.",标点格式/术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"General, your laws need to be acknowledged by both factions. However, as far as I can see, your current laws do not infringe upon their interests. I believe both factions will support you.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"A productive communication, during which opinions were exchanged frankly in the meeting.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"(I haven't finished my tasks yet, so I can't leave here.)",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The first meeting has successfully concluded, General, and your law was unanimously passed.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"After all, under your leadership, General, everyone is united as one. The passing of the law was inevitable!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"However, people do not always have completely aligned interests, and it's possible that some laws may not pass in the future.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"If the number of people supporting you doesn't reach half, then you'll have to think of another solution...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"For example, you could try to appease them, but that may not be wise. Sometimes when you please one person, you might offend ten others.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Hahaha, I misspoke and said too much today. General, you must be tired as well. You may return to your residence to rest.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Yes, as a vassal, he learns quickly. After all, he gained quite a bit of experience under Gongsun Zan. His love for the people and his treatment of scholars are both quite appropriate.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Haha... It seems you've been controlling things well. You've probably profited quite a bit, right? Now that Lord Tao Qian is gravely ill, you must have acquired a lot of land, mines, and logging fields, haven't you?",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"You overestimate me. As the Assistant Officer, you are truly the second-in-command. Besides, this is all for the good of the people of Xuzhou. Only we will truly care for the people of Xuzhou. It's better that we benefit from it than those from Danyang.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"That's true. Now, I have a question for you: who do you think should be chosen as the Lord of Xuzhou, Tao Shang or Tao Ying?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Exactly, apart from indulging in eating, drinking, and having fun, they would only continue to support their father's Danyang faction. Our Xuzhou faction wouldn't benefit, and without benefits, we can't offer advantages to the 'people' under us. Over time, our position would become unstable.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"He hoped that Liu Bei would assist in helping his two sons. He had previously hinted at this to Liu Bei, which was noticed by my informant.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"This is equivalent to letting Liu Bei temporarily manage Xuzhou, with the plan to return full control once his sons are grown.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"That's the idea, but he passed away suddenly without leaving a written will, and his words were rather vague.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"How about this: we support Liu Bei as the Lord of Xuzhou. That way, it wouldn't be considered altering Lord Tao's 'intentions.'",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"That's exactly what I had in mind. Brother Chen, you have sharp insight! Hahaha!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"A warrior with a leopard-like head, round eyes, swallow-shaped chin, and tiger-like beard glared at the Danyang soldiers' leader in front of him.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Not at all, my brother is just a straightforward person. Here is the grain allocation method I discussed with the scholars of Xuzhou. With this seal, you can go to the granary and allocate a portion of your soldiers' provisions.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Then we thank General Liu! Haha, our brothers can now issue the military pay!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Let's put aside the word 'thanks' for now. This is official business, and I will not treat any of my brothers serving under me unfairly.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"What? Damn it, I know now, it's those local scholars' slander again...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"General Liu, you can't just listen to them. Those scholars, they claim to be noble, but behind the scenes, they bribe their servants with small amounts of money to slander us soldiers.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"We were sent by Lord Tao Qian to help you. Even though I don't get along well with your two brothers, as long as Lord Tao Qian is alive, we are on the same front.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Alright, I will make a fair decision. General Cao, may I have a word with my two brothers?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Go ahead, General. You must clear our names. We are Lord Tao Qian's direct troops and have no reason to do such things.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Cao Bao left the place, but he continued to patrol not far from the military camp.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"General, you've noticed it too, haven't you? This person is actually an undercover agent placed around us. Our personnel movements are being restricted.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"But there's nothing you can do, General. It looks like Tao Qian assigned us 3,000 soldiers, but in reality, he sent 3,000 spies.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"After eating and drinking their fill, Liu Bei began conversing with his subordinates.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"General, you have no idea, these soldiers from the Central Plains are incredibly dull...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Whether it's physical strength or tactical awareness, they are far inferior to us veteran soldiers from Youzhou with solid foundations.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
Great! Let's keep up the good work and continue to further enhance our strength on the training field!,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The training ground is a place for generals to train and grow. As long as you have enough funds, you can quickly level up your subordinates (up to level 10).",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Hahaha, too bad it's not real swords and actual combat. It's not exciting enough!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"The world is in chaos now, and we should cherish the opportunity before us... But General's ambitions are not limited to this.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"That's right, cherish this temporary 'peace'... The battlefield is brutal. But only by sharpening our blades before going to war can we truly defeat our opponents on the battlefield and minimize unnecessary sacrifices!",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"General Liu, I've been waiting for you for a long time.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Alright, let us march separately in two forces and see how the bandits flee!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"You haven't finished training the soldiers, you shouldn't leave here so early.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"General, no matter what, you have completed all the tasks Governor Tao Qian assigned to you.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"With your assistance, I have successfully eradicated all the enemies on my side as well!",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"You can continue training the soldiers here, or go back to rest early.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Greetings, General.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
I've finally returned. Have a lot of tasks piled up?,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Oh, no, actually, while the General was away, most matters were handled well by the Deputy...",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
